"Date","State","Sector","Mode","Installed Capacity"
"19-12-2018","West Bengal","STATE SECTOR","Hydro","986"
"19-12-2018","West Bengal","STATE SECTOR","RES","91.95"
"19-12-2018","West Bengal","PVT SECTOR","Thermal","2025"
"19-12-2018","West Bengal","PVT SECTOR","Nuclear","0"
"19-12-2018","West Bengal","PVT SECTOR","Hydro","0"
"19-12-2018","West Bengal","PVT SECTOR","RES","344.52"
"19-12-2018","West Bengal","CENTRAL SECTOR","Thermal","6850"
"19-12-2018","West Bengal","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","West Bengal","CENTRAL SECTOR","Hydro","355.2"
"19-12-2018","West Bengal","CENTRAL SECTOR","RES","0"
